employee_id,salon_id,name,jobtitle,providedservices,notes,active,updated,image_id
84179169,3564,Esther Milnes,nail technician,"['1678809', '1678837', '1678096', '1678816', '1678097']",,FALSE,2022-06-11 13:10:53,http://dummyimage.com/128x100.png/ff4444/ffffff
84179168,3790,Monro Hassen,hairdresser,['1017319'],"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",FALSE,2020-10-31 16:47:59,http://dummyimage.com/116x100.png/cc0000/ffffff
84179170,169,Nolana Bellward,beautician,"['1888602', '1890553', '1888695', '1888628', '1888625', '2139363', '2139338', '1888718', '1888682', '1888616', '1888613', '1888705', '1888673', '1888671', '2139353', '1888700']","Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",FALSE,2022-10-14 03:22:26,http://dummyimage.com/244x100.png/ff4444/ffffff
84179167,140,Truda Andrichuk,hairdresser,"['1624498', '1624496', '1651263']",Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,TRUE,2021-04-25 12:36:42,http://dummyimage.com/148x100.png/cc0000/ffffff
84179163,1474,Wilton Cardenas,nail technician,"['1058541', '558538', '558537', '1056210', '1056207', '582620', '1058548', '772672', '582619', '1056218', '582614', '1056220', '1056225', '582618', '582617', '558520', '582616', '582615', '558541', '1056228', '1056231']",In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,FALSE,2020-06-18 19:15:36,http://dummyimage.com/132x100.png/cc0000/ffffff
84179166,1773,Rodney Feldstern,hair stylist,"['1586613', '1586611', '1489327', '1489263', '1489266', '1489317', '1489363', '1489299', '1489304', '1489292', '1489356', '1489358', '1489294', '1489359', '1489362', '1489361', '1489283', '1489286', '1489350', '3033952', '1489352', '1489354', '1489289', '1489275', '3033958', '1489278']","In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",TRUE,2021-03-23 18:29:55,http://dummyimage.com/227x100.png/cc0000/ffffff
84179161,214,Daven Follos,nail technician,"['1172863', '1172866', '1171818', '1172867', '1172868']",Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,TRUE,2021-08-20 13:21:09,http://dummyimage.com/214x100.png/cc0000/ffffff
84179165,678,Normy Kiffin,hairdresser,"['1058541', '558538', '558537', '1056210', '1056207', '582620', '1058548', '772672', '582619', '1056218', '582614', '1056220', '1056225', '582618', '582617', '582616', '558520', '582615', '558541', '1056228', '1056231']","In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",FALSE,2020-03-18 12:14:01,http://dummyimage.com/118x100.png/5fa2dd/ffffff
82504598,1612,Josefina Leatham,creative director,"['1289297', '1283137', '1260123', '1289084', '1272588', '1268665', '1289191', '1268661', '1270259', '1267444', '1268644']",Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,FALSE,2020-11-02 15:31:10,http://dummyimage.com/212x100.png/ff4444/ffffff
84179164,3534,Fonsie Hedworth,creative director,"['1288017', '1288018', '2096444', '1288025', '2096485', '1288023', '1288021', '1284179', '1288020', '1288034', '1288032', '2096396', '1288030', '1288027', '1288028', '1288007', '1288035', '1288003', '1288036']","Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",FALSE,2022-09-24 16:53:27,http://dummyimage.com/134x100.png/dddddd/000000
84179162,2487,Fulvia O'Donoghue,nail technician,[],Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,FALSE,2021-05-03 10:27:28,http://dummyimage.com/222x100.png/ff4444/ffffff
84179160,1219,Merle Parkinson,hairdresser,"['1889658', '1889657', '1889656', '1889655', '1889654', '1889653', '1889664', '1889663', '1889662', '1889660', '1889659']","Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",TRUE,2021-12-24 10:20:43,http://dummyimage.com/196x100.png/cc0000/ffffff
84179159,2990,Cristin Shreve,beautician,[],"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",FALSE,2021-02-15 09:39:52,http://dummyimage.com/220x100.png/cc0000/ffffff
84179158,2944,Emma Franzini,hair stylist,"['1346577', '1346576', '1346572', '1346583', '1346582']","Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",FALSE,2022-01-18 23:30:50,http://dummyimage.com/167x100.png/cc0000/ffffff
84179157,507,Nedi Canadine,nail technician,"['2912580', '2912516', '2912515', '2912514', '2912642', '2912512', '2912639', '2912575', '2912510', '2912509', '2929364', '2912657', '2912528', '2912654', '2912526', '2912589', '2912587', '2912550', '2912549', '2912548', '2912547', '2912546', '2912545', '2912544', '2912541', '2912504', '2912501', '2912628', '3018402', '2912627', '2912626', '2912562', '3018404', '3018405', '2912496', '3018406', '2912494']",Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,FALSE,2020-01-03 23:35:48,http://dummyimage.com/201x100.png/ff4444/ffffff
84179155,1630,Danella Durning,hair stylist,"['1363488', '2443456', '1363486', '2443469', '1363482', '2443449', '2443464', '1363494', '1363491']","Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",TRUE,2020-03-23 12:16:27,http://dummyimage.com/167x100.png/5fa2dd/ffffff
84179156,3680,Marnia Daltry,creative director,"['614616', '614633', '614628', '614619', '364575']","Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",TRUE,2021-11-13 06:15:32,http://dummyimage.com/212x100.png/ff4444/ffffff
84179154,2618,Reeva Schleicher,hair stylist,[],Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,FALSE,2021-10-25 13:45:40,http://dummyimage.com/180x100.png/dddddd/000000
84179152,530,Fidelia Brassill,hair stylist,[],,FALSE,2022-12-10 21:44:47,http://dummyimage.com/179x100.png/dddddd/000000
84179153,62,Wolfie Knutton,beautician,"['582618', '558538', '558537', '582617', '582616', '582615', '558541', '582620', '558540', '582619']","Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",TRUE,2022-07-11 08:43:20,http://dummyimage.com/213x100.png/ff4444/ffffff
83873251,708,Jeniece Pocke,hairdresser,"['450660', '450659', '450652', '450651', '450654', '450653', '450656', '450655', '450658', '450657', '450609', '450628', '450627', '450630', '450632', '450631', '450634', '450633', '450620', '450622', '450626', '450625', '450644', '450643', '450646', '450645', '450648', '450647', '450650', '450649', '450636', '450638', '450637', '450640', '450639', '450642', '450641']",Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,TRUE,2021-08-06 13:32:07,http://dummyimage.com/105x100.png/dddddd/000000
84179151,3389,Nadean Branno,hairdresser,"['932765', '633083', '932759', '633084']",Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,TRUE,2021-12-15 05:49:30,http://dummyimage.com/105x100.png/ff4444/ffffff
84179150,1873,Cassius Rassell,hairdresser,"['578547', '560504']","Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",TRUE,2021-08-13 21:33:15,http://dummyimage.com/244x100.png/ff4444/ffffff
84179149,1638,Deborah Swallwell,creative director,"['1002653', '992075', '992171', '1002641', '994063', '1002656', '991898']","Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",FALSE,2020-03-23 05:51:07,http://dummyimage.com/158x100.png/cc0000/ffffff
84179148,557,Mayor Cartledge,beautician,"['2405951', '2405822', '2405821', '2405819', '2405959', '2406161', '2405966', '2406104', '2406102', '2406036', '2405920', '2406044', '2405674', '2405866', '2405865', '2405864', '2405863', '2405671', '2405926', '2405862', '2405925', '2405872', '2405679', '2405870', '2405933', '2405882', '2405817', '2405945', '2405942', '2405877', '2405876', '2405683']",,FALSE,2020-12-31 11:08:48,http://dummyimage.com/115x100.png/cc0000/ffffff
84179146,2902,Ally Osbourne,hair stylist,['1159595'],"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",FALSE,2022-05-17 01:07:05,http://dummyimage.com/183x100.png/dddddd/000000
84179147,2292,Nathanial Ludwig,hairdresser,"['1058541', '558538', '558537', '1056210', '1056207', '582620', '1058548', '772672', '582619', '1056218', '582614', '1056220', '1056225', '582618', '582617', '582616', '558520', '582615', '558541', '1056228', '1056231']","In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",FALSE,2021-12-18 00:43:38,http://dummyimage.com/249x100.png/dddddd/000000
84179145,459,Bink Sellwood,hairdresser,"['2910103', '2910078', '3223706']",In congue. Etiam justo. Etiam pretium iaculis justo.,TRUE,2020-05-31 18:44:53,http://dummyimage.com/154x100.png/5fa2dd/ffffff
84179144,165,Merrile Philcott,creative director,"['1203314', '1203313', '1203320', '1203319', '1203316', '1203315', '1203318', '1203317']","Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",FALSE,2020-09-21 21:22:59,http://dummyimage.com/213x100.png/ff4444/ffffff
84179143,447,Maximo Kilduff,beautician,[],"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",FALSE,2022-09-15 21:01:37,http://dummyimage.com/153x100.png/cc0000/ffffff
84179142,685,Nils Muneely,creative director,[],"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",FALSE,2022-12-25 00:26:10,http://dummyimage.com/197x100.png/cc0000/ffffff
84179141,133,Ernst Cutmore,nail technician,[],"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",FALSE,2022-09-04 07:47:14,http://dummyimage.com/189x100.png/dddddd/000000
84179140,2779,Tod Cressy,hairdresser,"['692200', '692199', '692138', '692201', '692195', '692197', '692152', '692151', '692186', '692148', '692147', '692150', '692149', '692143', '692146', '692145', '692140', '692139', '692142', '692141']","Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",TRUE,2022-05-13 16:47:49,http://dummyimage.com/163x100.png/ff4444/ffffff
84179139,3622,Caprice Cainey,hairdresser,[],"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",FALSE,2021-02-08 05:47:04,http://dummyimage.com/105x100.png/ff4444/ffffff
84179138,1264,Anne-marie Nappin,creative director,"['1252594', '1266061', '1692276', '1260109', '1260186', '1260115', '1267444', '2034473', '1252610', '2657843', '1266491', '2034546', '1252573', '1260125', '1289340', '1252584', '2034547', '1289191', '1252586', '1283144', '2034522', '1260198', '1268644']","In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",TRUE,2021-04-16 21:00:40,http://dummyimage.com/113x100.png/ff4444/ffffff
84179137,206,Jazmin Bortolazzi,beautician,"['528068', '528071', '528061', '528062', '528059', '528065', '528066', '528063', '528064', '528084', '528057', '528058', '528055', '528056']","Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",TRUE,2021-11-05 10:47:49,http://dummyimage.com/161x100.png/dddddd/000000
84179136,2083,Irv Realy,beautician,[],"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",FALSE,2022-01-01 10:24:06,http://dummyimage.com/109x100.png/5fa2dd/ffffff
84179135,2920,Ingelbert Greason,hair stylist,['442530'],Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,TRUE,2020-11-14 10:18:55,http://dummyimage.com/175x100.png/dddddd/000000
84179134,3073,Brien Brass,nail technician,"['492166', '442521', '442524', '442527', '442529']","Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",FALSE,2020-06-09 15:48:30,http://dummyimage.com/140x100.png/cc0000/ffffff
84179133,3109,Melita Balme,hairdresser,"['3463872', '3463870', '3463869', '3463867', '3463866', '3463864', '3463861']","Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",TRUE,2022-07-30 09:49:39,http://dummyimage.com/207x100.png/ff4444/ffffff
